intern_id,name,age,gender,department,internship_duration,attendance_rate,task_completion_rate,punctuality_score,communication_score,teamwork_score,technical_score,problem_solving_score,initiative_score,project_score,mentor_feedback_score,training_hours,certifications,late_submissions,extra_activities,overall_performance,soft_skills_score,discipline_score
1,Intern_1,27,male,data science,9,91,88,5.6,9.5,7.5,6.5,5.1,9.3,94,9.9,79,3,5,0,62.833333333333336,8.766666666666667,86
2,Intern_2,22,female,marketing,6,94,54,5.6,6.5,8.0,6.7,5.8,5.2,44,6.7,65,4,5,1,34.9,6.566666666666666,89
3,Intern_3,27,female,data science,9,83,70,3.8,8.4,9.4,4.9,7.7,3.9,54,6.5,144,1,0,0,42.96666666666667,7.233333333333333,83
4,Intern_4,27,female,web dev,6,85,86,4.2,6.5,7.0,5.1,4.5,7.2,69,6.5,61,2,13,0,53.36666666666667,6.8999999999999995,72
5,Intern_5,19,male,iot,6,63,77,4.2,4.0,7.3,4.4,10.0,5.3,92,8.0,142,3,3,0,57.800000000000004,5.533333333333334,60
6,Intern_6,24,male,web dev,9,76,83,4.3,4.7,4.4,5.9,3.2,8.4,95,6.5,145,1,9,0,61.300000000000004,5.833333333333333,67
7,Intern_7,22,male,web dev,3,97,91,3.5,4.4,7.0,6.4,9.6,3.2,47,8.2,81,4,10,1,48.13333333333333,4.866666666666667,87
8,Intern_8,24,male,iot,6,95,81,8.0,5.6,4.4,10.0,5.5,5.4,60,4.7,58,4,9,1,50.333333333333336,5.133333333333334,86
9,Intern_9,26,male,iot,6,98,67,5.4,7.9,8.9,4.9,9.4,4.7,71,3.8,100,1,10,0,47.63333333333333,7.166666666666667,88
10,Intern_10,25,male,iot,6,91,59,4.2,9.8,4.7,6.5,7.9,6.7,65,5.2,70,3,12,1,43.5,7.066666666666666,79
11,Intern_11,19,female,data science,6,87,71,7.0,5.3,3.2,9.9,6.3,6.3,78,8.9,139,0,1,0,52.96666666666667,4.933333333333334,86
12,Intern_12,23,male,data science,6,86,51,5.8,6.5,7.3,3.9,3.4,8.2,79,8.1,123,3,6,0,44.63333333333333,7.333333333333333,80
13,Intern_13,26,male,data science,6,71,82,6.9,9.2,9.6,6.9,8.1,8.2,73,3.2,24,3,2,1,53.96666666666667,8.999999999999998,69
14,Intern_14,27,female,marketing,6,69,85,7.1,6.5,3.5,8.9,8.4,5.7,43,7.5,142,2,0,0,45.63333333333333,5.233333333333333,69
15,Intern_15,20,male,web dev,3,71,74,6.5,5.7,7.0,6.9,9.9,6.0,96,6.5,64,3,7,1,58.96666666666667,6.233333333333333,64
16,Intern_16,25,female,data science,3,98,71,5.0,6.7,4.1,4.8,5.0,9.5,75,8.3,137,6,11,1,50.26666666666667,6.766666666666667,87
17,Intern_17,21,female,data science,6,90,54,8.8,4.7,6.7,6.5,5.6,5.0,78,9.2,95,5,11,0,46.166666666666664,5.466666666666666,79
18,Intern_18,21,male,iot,6,84,94,5.1,6.5,9.7,4.3,8.0,9.1,69,7.9,120,5,12,1,55.76666666666667,8.433333333333332,72
19,Intern_19,20,female,data science,9,71,82,4.9,6.0,6.6,5.2,8.4,5.1,52,4.3,56,2,10,0,46.4,5.8999999999999995,61
20,Intern_20,22,female,data science,6,83,68,5.8,6.5,7.4,3.6,3.0,8.0,91,7.0,29,5,6,0,54.199999999999996,7.3,77
21,Intern_21,24,male,marketing,3,72,61,9.7,4.2,7.2,6.5,4.5,5.8,60,8.7,18,4,5,0,42.5,5.733333333333333,67
22,Intern_22,27,female,data science,6,81,95,5.9,9.5,4.7,4.8,7.9,9.1,90,3.5,67,0,14,0,63.26666666666667,7.766666666666666,67
23,Intern_23,20,female,marketing,6,68,69,3.8,8.3,8.2,5.8,9.7,5.3,50,6.5,108,4,2,1,41.6,7.266666666666667,66
24,Intern_24,27,male,hr,6,91,59,9.4,7.2,9.7,4.9,7.7,7.1,83,9.2,95,3,0,0,48.96666666666667,8.0,91
25,Intern_25,26,female,data science,3,67,58,3.4,6.9,5.0,5.3,8.5,7.4,75,5.2,124,3,3,1,46.1,6.433333333333334,64
26,Intern_26,27,male,data science,3,82,91,8.0,9.3,9.5,4.2,4.6,4.5,87,5.5,23,6,9,1,60.73333333333333,7.766666666666667,73
27,Intern_27,20,female,web dev,3,99,59,7.3,8.0,3.8,3.6,9.3,7.1,48,5.4,53,4,6,0,36.86666666666667,6.3,93
28,Intern_28,19,male,marketing,3,82,59,8.3,9.9,7.1,3.4,6.7,3.6,68,9.6,61,0,3,0,43.46666666666667,6.866666666666667,79
29,Intern_29,24,male,web dev,9,83,60,3.1,4.1,8.7,9.8,3.9,6.3,88,6.4,100,4,7,0,52.6,6.366666666666666,76
30,Intern_30,23,female,iot,6,85,78,4.5,8.5,3.4,6.0,6.3,7.9,82,6.5,14,0,12,1,55.333333333333336,6.6000000000000005,73
31,Intern_31,20,male,data science,3,69,87,3.5,7.9,6.5,4.0,6.5,3.4,95,4.0,38,2,0,1,62.0,5.933333333333334,69
32,Intern_32,24,female,data science,9,64,94,4.5,7.6,4.1,6.5,3.1,5.4,60,9.1,72,2,13,1,53.5,5.7,51
33,Intern_33,23,male,web dev,6,92,71,9.5,3.4,4.0,3.4,8.6,4.6,43,6.3,25,1,11,1,39.13333333333333,4.0,81
34,Intern_34,26,male,data science,9,99,88,7.6,6.5,5.3,6.1,5.9,3.6,45,3.2,57,0,14,0,46.36666666666667,5.133333333333334,85
35,Intern_35,25,male,data science,6,90,73,4.0,6.5,6.4,4.8,4.8,6.2,54,5.9,11,5,1,1,43.93333333333334,6.366666666666667,89
36,Intern_36,19,female,web dev,6,98,66,8.0,6.5,5.4,7.3,9.9,5.8,56,6.5,143,0,14,0,43.1,5.8999999999999995,84
37,Intern_37,19,female,marketing,3,95,99,8.3,8.6,7.6,3.3,8.1,3.4,77,5.7,10,0,12,1,59.76666666666667,6.533333333333332,83
38,Intern_38,21,female,marketing,3,93,68,6.4,6.1,8.5,6.5,8.4,8.3,53,6.5,68,2,2,0,42.5,7.633333333333333,91
39,Intern_39,23,male,data science,9,76,94,3.8,3.1,3.1,6.7,4.0,7.5,65,6.3,110,2,9,1,55.23333333333333,4.566666666666666,67
